API, JPA http://www.oracle.com/technetwork/java/javaee/tech/persistence-jsp-140049.html
Architecture, Architectural Pattern https://en.wikipedia.org/wiki/Architectural_pattern
Architecture, Rest https://en.wikipedia.org/wiki/Representational_state_transfer
Build automation, Apache ANT http://ant.apache.org/
Build automation, Jenkins http://jenkins-ci.org/
Business rules, Drools http://www.drools.org/
Business rules, IBM ODM http://www-03.ibm.com/software/products/en/odm
Business rules, JBPM http://www.jbpm.org/
Command Line, Bash https://www.gnu.org/software/bash/
Database, DB2 http://www-01.ibm.com/software/data/db2/
Database, MongoDB https://www.mongodb.org/
Database, MS Microsoft SQL https://msdn.microsoft.com/en-us/library/mt590198
Database, Oracle Database https://www.oracle.com/database/index.html
Design, Design Patterns https://en.wikipedia.org/wiki/Software_design_pattern
Design, Enterprise Integration Patterns https://en.wikipedia.org/wiki/Enterprise_Integration_Patterns
Design, Object Oriented Design Principles http://www.oodesign.com/design-principles.html
Enterprise Integration Patterns, Sprint Integration http://projects.spring.io/spring-integration/
Frameworks, Spring Batch http://projects.spring.io/spring-batch/
Frameworks, Spring Framework / Tag Library http://projects.spring.io/spring-framework/
Frameworks, Spring Framework https://spring.io/
HTML, DOM https://en.wikipedia.org/wiki/Document_Object_Model
HTML, HTML https://en.wikipedia.org/wiki/HTML
IDE, Eclipse https://eclipse.org/downloads/
IDE, RAD Rational Application Developer (RAD) https://en.wikipedia.org/wiki/Rational_Application_Developer
Java, J2EE https://en.wikipedia.org/wiki/Java_Platform,_Enterprise_Edition
Java, J2ME https://en.wikipedia.org/wiki/Java_Platform,_Micro_Edition
Java, Java Applet https://en.wikipedia.org/wiki/Java_applet
Java, Javabeans https://docs.oracle.com/javase/tutorial/javabeans/
Java, Java EE https://en.wikipedia.org/wiki/Java_Platform,_Enterprise_Edition
Java, Java https://www.oracle.com/java/index.html
Java, JDBC http://www.oracle.com/technetwork/java/javase/jdbc/index.html
Java, OpenJPS http://openjpa.apache.org/
Javascript, Drools https://dojotoolkit.org/
Javascript, Javascript https://en.wikipedia.org/wiki/JavaScript
Logging , Log4J http://logging.apache.org/log4j/2.x/index.html
Messaging, Java Messaging Service, JMS https://docs.oracle.com/javaee/6/tutorial/doc/bncdq.html
Messaging, JMS https://en.wikipedia.org/wiki/Java_Message_Service
Messaging, Spring JMS https://spring.io/guides/gs/messaging-jms/
Middleware, Apache Camel http://camel.apache.org/
Middleware, IBM Websphere http://wsww-03.ibm.com/software/products/en/ibm-mq
Middleware, Service Oriented Architecture https://en.wikipedia.org/wiki/Service-oriented_architecture
Middleware, Weblogic http://www.oracle.com/technetwork/middleware/weblogic/overview/index-085209.html
Middleware, Websphere http://www.ibm.com/software/websphere
Mobile Web Applications, Spring Mobile http://projects.spring.io/spring-mobile/
Modeling Language, Rational Rose http://www-03.ibm.com/software/products/en/ratirosefami
Modeling Language,  UML http://www.uml.org/
Modeling Language, Visio https://en.wikipedia.org/wiki/Microsoft_Visio
Object Oriented Programming, OOAD Object-Oriented analysis and design https://en.wikipedia.org/wiki/Object-oriented_analysis_and_design
Object Oriented Programming, OOP https://en.wikipedia.org/wiki/Object-oriented_programming
Operating System, Linux https://en.wikipedia.org/wiki/Linux
Operating System, Operating Systems https://en.wikipedia.org/wiki/Operating_system
Operating System, Unix http://www.tutorialspoint.com/unix/
ORM, Hibernate http://hibernate.org/orm/
ORM, JPA ORM http://www.tutorialspoint.com/jpa/jpa_orm_components.htm
ORM,  ORM Object Relational Mapping https://en.wikipedia.org/wiki/Object-relational_mapping
Performance Engineering, Performance Engineering https://en.wikipedia.org/wiki/Performance_engineering
Performance Tuning, Performance Tuning https://en.wikipedia.org/wiki/Performance_tuning
Programming Language, C https://en.wikipedia.org/wiki/C_(programming_language)
Programming Language, C++ https://en.wikipedia.org/wiki/C%2B%2B
Programming Language, Groovy http://www.groovy-lang.org/documentation.html , https://en.wikipedia.org/wiki/Groovy_(programming_language)
Programming Language, Objective-C https://en.wikipedia.org/wiki/Objective-C
Project Management, Apache Maven https://maven.apache.org/
Server, EJBs Enterprise Javabeans https://en.wikipedia.org/wiki/Enterprise_JavaBeans
Server, Java Application Servers https://en.wikipedia.org/wiki/Application_server#Java_application_servers
Server, Java Servlet http://docs.oracle.com/javaee/6/tutorial/doc/bnafd.html
Server, Jboss http://www.jboss.org/
Service, Felix http://felix.apache.org/
Service, Karaf http://karaf.apache.org/
Service, OSGI https://www.osgi.org/
Software  Development, Agile Development https://en.wikipedia.org/wiki/Agile_software_development
Software  Development, SDLC https://en.wikipedia.org/wiki/Software_development_process
Software  Development, Unified Process https://en.wikipedia.org/wiki/Unified_Process
SQL, JDBC http://www.oracle.com/technetwork/java/javase/jdbc/index.html
SQL, PL/SQL https://en.wikipedia.org/wiki/PL/SQL
SQL, SQL https://en.wikipedia.org/wiki/SQL
SQL, Stored Procedures https://docs.oracle.com/javase/tutorial/jdbc/basics/storedprocedures.html
Systems Engineering, Performance Engineering https://en.wikipedia.org/wiki/Performance_engineering
Testing, Cactus http://jakarta.apache.org/cactus/
Testing, EasyMock http://easymock.org/
Testing, Fitnesse http://www.fitnesse.org/
Testing, Functional Testing https://en.wikipedia.org/wiki/Functional_testing
Testing, Junit http://junit.org/
Testing, Mockito http://mockito.org/
Testing, PowerMock https://github.com/jayway/powermock
Testing, SOAPUI https://www.soapui.org/
Testing, Stress Testing https://en.wikipedia.org/wiki/Stress_testing_(software)
Testing, System testing https://en.wikipedia.org/wiki/System_testing
Testing, Test Automation https://en.wikipedia.org/wiki/Test_automation
Testing, Unit testing https://en.wikipedia.org/wiki/Unit_testing
Version Control, Apache Subversion SVN https://subversion.apache.org/
Version Control, Clear Case http://www-03.ibm.com/software/products/en/clearcase
Version Control, Git https://git-scm.com/
Version Contol, SCM Software Configuration Management https://en.wikipedia.org/wiki/Software_configuration_management
Version Control, Team Foundation Server or TFS https://www.visualstudio.com/products/tfs-overview-vs
Web Application, JSF or JavaServer Faces http://www.oracle.com/technetwork/java/javaee/javaserverfaces-139869.html
Web Concepts, Web 2.0 https://en.wikipedia.org/wiki/Web_2.0
Web Framework, AngularJS  https://angularjs.org/
Web Framework, Apache Struts https://struts.apache.org/
Web Framework, Grails https://grails.org/documentation.html , https://en.wikipedia.org/wiki/Grails_(framework)
Web Framework, Spring https://spring.io/
Web Framework, Spring MVC http://docs.spring.io/spring/docs/current/spring-framework-reference/html/mvc.html
Web Framework, Spring Taglib http://docs.spring.io/spring/docs/current/spring-framework-reference/html/view.html
Web Framework, Spring Web Flow http://projects.spring.io/spring-webflow/
Web Framework, Struts MVC http://www.tutorialspoint.com/struts_2/struts_architecture.htm
Web Server, Apache Tomcat http://tomcat.apache.org/
Web Services, Apache CXF http://cxf.apache.org/
Web Services, JAX-RPC https://java.net/projects/jax-rpc/
Web Services, Jax-WS https://jax-ws.java.net/
Web Services, SOAP https://en.wikipedia.org/wiki/SOAP
Web Services, Spring Web Services http://projects.spring.io/spring-ws/
Web Services, Web services https://en.wikipedia.org/wiki/Web_service
Web tools, Apache Tiles https://tiles.apache.org/
Web tools, GWT http://www.gwtproject.org/
Web tools, JSP or JavaServer Pages http://www.oracle.com/technetwork/java/javaee/jsp/index.html
Web tools, JSTL http://www.tutorialspoint.com/jsp/jsp_standard_tag_library.htm
Web tools, MEAN https://en.wikipedia.org/wiki/MEAN_(software_bundle)
Web tools, Yui http://yuilibrary.com/
XML, JAXB http://www.oracle.com/technetwork/articles/javase/index-140168.html
XML, JDOM https://en.wikipedia.org/wiki/JDOM
XML, SAX http://sax.sourceforge.net/
XML, XML Beans https://xmlbeans.apache.org/
XML, XML http://www.w3schools.com/xml/
XML, XML Spy http://www.altova.com/xmlspy.html
XML, XSLT https://en.wikipedia.org/wiki/XSLT
